index,ok,status,rows,timeMs,question
1,false,0,,20,"¿Cuántos eventos hay en total?"
2,false,0,,3,"Muéstrame los próximos 10 eventos ordenados por fecha."
3,false,0,,1,"¿Qué eventos hay en Madrid?"
4,false,0,,2,"¿Qué conciertos hay en Madrid?"
5,false,0,,1,"¿Qué obras de teatro hay en Barcelona?"
6,false,0,,1,"Dime los eventos de Sevilla para este mes."
7,false,0,,1,"¿Cuál es el evento más caro?"
8,false,0,,1,"¿Cuál es el evento más barato?"
9,false,0,,2,"Dame el precio del evento ""Noche Flamenca""."
10,false,0,,1,"¿En qué ciudad se celebra el evento ""Jazz al Anochecer""?"
11,false,0,,1,"¿Cuándo es el evento ""Arte Moderno 2024""?"
12,false,0,,1,"Dime los artistas que actúan en Madrid."
13,false,0,,1,"¿Qué eventos hay del artista ""Lola Flores""?"
14,false,0,,1,"¿El artista ""Lola Flores"" tiene conciertos en Sevilla?"
15,false,0,,0,"Enséñame conciertos de rock."
16,false,0,,0,"Quiero ver todos los conciertos de este fin de semana."
17,false,0,,0,"Eventos de tipo exposición en Valencia."
18,false,0,,1,"¿Cuáles son los eventos programados en Bilbao?"
19,false,0,,1,"Top 5 eventos por precio más alto."
20,false,0,,1,"Top 5 eventos por precio más bajo."
21,false,0,,1,"Eventos entre 20 y 40 euros."
22,false,0,,1,"Eventos con precio mayor a 50 euros."
23,false,0,,1,"Eventos con precio menor de 15 euros."
24,false,0,,1,"¿Cuántos eventos hay por ciudad?"
25,false,0,,1,"Dame el total de eventos por tipo."
26,false,0,,1,"¿Cuántos conciertos hay?"
27,false,0,,1,"¿Cuántas obras de teatro hay?"
28,false,0,,1,"¿Cuántas exposiciones hay?"
29,false,0,,0,"Eventos en Madrid ordenados por precio descendente."
30,false,0,,1,"Eventos en Barcelona ordenados por precio ascendente."
31,false,0,,0,"Dime el lugar y la ciudad del evento ""Clásicos en Vivo""."
32,false,0,,0,"¿Cuál es la capacidad del lugar del evento ""Clásicos en Vivo""?"
33,false,0,,1,"¿Qué eventos hay en la ciudad de Málaga?"
34,false,0,,1,"Eventos que no sean en Madrid."
35,false,0,,1,"Eventos en Andalucía."
36,false,0,,1,"Eventos en la Comunidad de Madrid."
37,false,0,,1,"Eventos que contengan la palabra ""jazz"" en el nombre."
38,false,0,,1,"Eventos que contengan la palabra ""flamenco"" en el nombre."
39,false,0,,1,"Muéstrame los eventos con descripción que mencione ""infantil""."
40,false,0,,1,"¿Qué eventos hay esta semana?"
41,false,0,,0,"¿Qué eventos hay el próximo mes?"
42,false,0,,1,"Dime todos los eventos del 2024."
43,false,0,,1,"Eventos del primer trimestre de 2024."
44,false,0,,1,"Eventos del segundo trimestre de 2024."
45,false,0,,1,"Eventos del tercer trimestre de 2024."
46,false,0,,1,"Eventos del cuarto trimestre de 2024."
47,false,0,,0,"¿Cuáles son los eventos de mañana?"
48,false,0,,1,"Eventos de hoy."
49,false,0,,1,"Eventos de pasado mañana."
50,false,0,,1,"Dime los eventos del fin de semana en Madrid."
51,false,0,,1,"Dime los eventos del fin de semana en Barcelona."
52,false,0,,1,"Eventos en Madrid que no sean conciertos."
53,false,0,,1,"Eventos en Sevilla que no sean teatro."
54,false,0,,1,"¿En qué ciudad hay más eventos?"
55,false,0,,1,"¿En qué ciudad hay menos eventos?"
56,false,0,,1,"Dime 10 eventos con su precio y ciudad."
57,false,0,,1,"Eventos con precio y fecha en Valencia."
58,false,0,,1,"¿Hay eventos gratuitos?"
59,false,0,,0,"¿Cuántos artistas hay registrados?"
60,false,0,,0,"Dime los artistas con más eventos."
61,false,0,,1,"Artistas que no tengan actividad de concierto."
62,false,0,,1,"¿Qué artistas participan en exposiciones?"
63,false,0,,1,"¿Qué artistas participan en teatro?"
64,false,0,,1,"Dime los artistas que actúan en Barcelona."
65,false,0,,1,"¿En qué eventos participa el artista ""Paco de Lucía""?"
66,false,0,,1,"Eventos del artista ""Paco de Lucía"" en Madrid."
67,false,0,,1,"¿Tiene más eventos el artista ""Paco de Lucía""?"
68,false,0,,1,"Muéstrame la descripción del evento ""Noche Flamenca""."
69,false,0,,1,"¿De qué trata el evento ""Jazz al Anochecer""?"
70,false,0,,1,"Dime el lugar del evento ""Jazz al Anochecer""."
71,false,0,,1,"Dime la ciudad del evento ""Noche Flamenca""."
72,false,0,,1,"¿Cuál es el precio del evento ""Clásicos en Vivo""?"
73,false,0,,0,"Eventos con aforo del lugar superior a 1000."
74,false,0,,0,"Eventos en lugares con aforo menor a 300."
75,false,0,,1,"¿Cuáles son los 5 próximos eventos en Madrid?"
76,false,0,,1,"Dime los 5 próximos eventos en Barcelona."
77,false,0,,1,"Top 3 eventos más caros en Madrid."
78,false,0,,0,"Top 3 eventos más baratos en Barcelona."
79,false,0,,0,"Eventos ordenados por ciudad y fecha."
80,false,0,,1,"Resumen de eventos por ciudad con totales."
81,false,0,,1,"Resumen de eventos por tipo con totales."
82,false,0,,1,"¿Cuáles son los eventos que no incluyen al artista ""Lola Flores""?"
83,false,0,,1,"Eventos en Madrid excepto los de ""Lola Flores""."
84,false,0,,1,"Muestra conciertos en Sevilla aparte de ""Paco de Lucía""."
85,false,0,,1,"¿Qué eventos hay en Valencia sin el artista ""Lola Flores""?"
86,false,0,,1,"Dime eventos en Bilbao menos los del artista ""Paco de Lucía""."
87,false,0,,1,"¿Cuáles son las ciudades con mayor facturación de ventas?"
88,false,0,,1,"Dime la facturación total por evento."
89,false,0,,1,"Top 5 eventos por número de entradas vendidas."
90,false,0,,1,"Total de entradas vendidas por ciudad."
91,false,0,,1,"¿Cuántas valoraciones hay por evento?"
92,false,0,,1,"Top 5 eventos mejor valorados."
93,false,0,,1,"Top 5 eventos peor valorados."
94,false,0,,1,"Promedio de valoración por ciudad."
95,false,0,,1,"Eventos con valoración media mayor o igual a 4."
96,false,0,,0,"Eventos con valoración media menor a 3."
97,false,0,,2,"Correos electrónicos de asistentes de Madrid."
98,false,0,,1,"Correos electrónicos de asistentes de Barcelona."
99,false,0,,0,"Listado de asistentes del evento ""Noche Flamenca""."
100,false,0,,0,"Listado de asistentes del evento ""Jazz al Anochecer""."
101,false,0,,1,"¿Hay eventos con entradas agotadas?"
102,false,0,,1,"Eventos con pocas entradas disponibles."
103,false,0,,1,"¿En qué ciudad venden más entradas?"
104,false,0,,0,"¿Cuál es el evento con más ingresos?"
105,false,0,,0,"¿Cuál es el evento con menos ingresos?"
106,false,0,,0,"Eventos y su número de artistas participantes."
